filename,plot no,block/rep,bay,row,Treatment Simple,Variety,2024-11-22 00:00:00,2024-11-29 00:00:00,2024-12-04 00:00:00,2024-12-13 00:00:00,2024-12-17 00:00:00,High lodging/brackling,comp disp,f at break,spike angle,ped curvature,leaf sheath cover,spike Length,spike weight,ped length,internode Length,dist from break,ped dm b,ped dm m,ped dm t,dm at node 2,freq of break at spike,brk at node 2,mean_wall_thickness_mm,median_wall_thickness_mm,mean_per_mm_intensity,median_per_mm_intensity
X-049501.tif,1,1,1,1,UTC,Maximus CL,0.4444444444444444,3.111111111111111,3.5555555555555554,4.444444444444445,4.888888888888888,N,37.97,0.42000000000000004,42.4,170.4,0.26,5.36,0.898,11.16,9.54,2.9999999999999996,1.494,1.39,1.124,2.418,0.0,1.0,0.0,0.0,3735.561117208421,3760.322368421053
X-049502.tif,1,1,1,1,UTC,Maximus CL,0.4444444444444444,3.111111111111111,3.5555555555555554,4.444444444444445,4.888888888888888,N,37.97,0.42000000000000004,42.4,170.4,0.26,5.36,0.898,11.16,9.54,2.9999999999999996,1.494,1.39,1.124,2.418,0.0,1.0,0.2815456158533854,0.2867455898821254,2341.8149869456174,2332.7833929636254
X-049503.tif,1,1,1,1,UTC,Maximus CL,0.4444444444444444,3.111111111111111,3.5555555555555554,4.444444444444445,4.888888888888888,N,37.97,0.42000000000000004,42.4,170.4,0.26,5.36,0.898,11.16,9.54,2.9999999999999996,1.494,1.39,1.124,2.418,0.0,1.0,0.2841854404568415,0.2815640985840175,2339.45203845869,2329.9118415841585
X-049504.tif,1,1,1,1,UTC,Maximus CL,0.4444444444444444,3.111111111111111,3.5555555555555554,4.444444444444445,4.888888888888888,N,37.97,0.42000000000000004,42.4,170.4,0.26,5.36,0.898,11.16,9.54,2.9999999999999996,1.494,1.39,1.124,2.418,0.0,1.0,0.3214038890645402,0.3233221966281721,2402.2084544505205,2407.564417177914
X-049505.tif,1,1,1,1,UTC,Maximus CL,0.4444444444444444,3.111111111111111,3.5555555555555554,4.444444444444445,4.888888888888888,N,37.97,0.42000000000000004,42.4,170.4,0.26,5.36,0.898,11.16,9.54,2.9999999999999996,1.494,1.39,1.124,2.418,0.0,1.0,0.7338154849818863,0.7338154849818863,2545.5649959822285,2517.71875
X-049506.tif,2,1,1,2,UTC,Schooner,2.2222222222222223,7.111111111111111,9.333333333333334,13.333333333333334,14.666666666666666,N,51.314,0.49000000000000005,59.0,175.2,0.33999999999999997,6.2,1.068,16.34,13.459999999999999,4.32,1.7440000000000002,1.52,1.062,2.756,1.0,0.0,0.3147691112899695,0.3188310568978422,2396.1780549952796,2389.8161764705883
X-049507.tif,2,1,1,2,UTC,Schooner,2.2222222222222223,7.111111111111111,9.333333333333334,13.333333333333334,14.666666666666666,N,51.314,0.49000000000000005,59.0,175.2,0.33999999999999997,6.2,1.068,16.34,13.459999999999999,4.32,1.7440000000000002,1.52,1.062,2.756,1.0,0.0,0.3034339176434493,0.304367375471389,2410.5102779051267,2396.297826086957
X-049508.tif,2,1,1,2,UTC,Schooner,2.2222222222222223,7.111111111111111,9.333333333333334,13.333333333333334,14.666666666666666,N,51.314,0.49000000000000005,59.0,175.2,0.33999999999999997,6.2,1.068,16.34,13.459999999999999,4.32,1.7440000000000002,1.52,1.062,2.756,1.0,0.0,0.4244239608186534,0.3979063015981291,2497.5542012122633,2490.725
X-049509.tif,2,1,1,2,UTC,Schooner,2.2222222222222223,7.111111111111111,9.333333333333334,13.333333333333334,14.666666666666666,N,51.314,0.49000000000000005,59.0,175.2,0.33999999999999997,6.2,1.068,16.34,13.459999999999999,4.32,1.7440000000000002,1.52,1.062,2.756,1.0,0.0,0.3113043791012716,0.3127035677874299,2433.065028854479,2412.0239130434784
X-049510.tif,2,1,1,2,UTC,Schooner,2.2222222222222223,7.111111111111111,9.333333333333334,13.333333333333334,14.666666666666666,N,51.314,0.49000000000000005,59.0,175.2,0.33999999999999997,6.2,1.068,16.34,13.459999999999999,4.32,1.7440000000000002,1.52,1.062,2.756,1.0,0.0,0.2789542943331377,0.2819118322984099,2440.5428721856474,2437.0545454545454
X-049511.tif,3,1,1,3,UTC,Commodus CL,3.111111111111111,8.0,8.0,11.555555555555555,14.666666666666666,N,77.664,0.382,67.8,160.8,1.8199999999999998,6.16,1.36,19.9,12.64,5.720000000000001,1.8240000000000003,1.6480000000000001,0.9800000000000001,2.606,1.0,0.0,0.3566078397474914,0.3526082387983149,2641.583514644138,2638.1891122576053
X-049512.tif,3,1,1,3,UTC,Commodus CL,3.111111111111111,8.0,8.0,11.555555555555555,14.666666666666666,N,77.664,0.382,67.8,160.8,1.8199999999999998,6.16,1.36,19.9,12.64,5.720000000000001,1.8240000000000003,1.6480000000000001,0.9800000000000001,2.606,1.0,0.0,0.3168806334765894,0.3124868895762872,2485.773112923477,2478.632814178303
X-049513.tif,3,1,1,3,UTC,Commodus CL,3.111111111111111,8.0,8.0,11.555555555555555,14.666666666666666,N,77.664,0.382,67.8,160.8,1.8199999999999998,6.16,1.36,19.9,12.64,5.720000000000001,1.8240000000000003,1.6480000000000001,0.9800000000000001,2.606,1.0,0.0,0.0,0.0,0.0,0.0
